Date,Dividends
2010-04-19 00:00:00+02:00,1.6
2011-04-18 00:00:00+02:00,1.85
2012-04-23 00:00:00+02:00,1.95
2013-04-15 00:00:00+02:00,2.05
2014-04-14 00:00:00+02:00,2.15
2015-04-20 00:00:00+02:00,2.2
2016-04-11 00:00:00+02:00,2.25
2017-04-10 00:00:00+02:00,2.3
2018-04-16 00:00:00+02:00,2.35
2019-04-15 00:00:00+02:00,2.45
2020-04-27 00:00:00+02:00,2.7
2021-04-19 00:00:00+02:00,2.75
2022-04-11 00:00:00+02:00,2.8
2023-04-24 00:00:00+02:00,2.95
2024-04-22 00:00:00+02:00,3.0
2025-04-22 00:00:00+02:00,3.05
